연번,참여대상,운영학기,프로그램명,주제,목적,운영부서,재원,"만족도 점수
 (5점 만점)",수료자
65,학생,1학기,공모전,학생주도 교양 교과목 기획 ,학생 맞춤형 교양 교과목 개발을 위한 학습자 수요 자료 마련,교육과정과 교양교육팀,글로컬대학30,4.5,74
66,교원,1학기,수요자맞춤형교양교과목 개발,1차 수요자 맞춤형 교양교과목 개발,학생의 의견을 반영한 교과목 개발을 통해 수요자 중심 교육 실현,교육과정과 교양교육팀,글로컬대학30,n/a,3
67,교원,2학기,수요자맞춤형교양교과목 개발,2차 수요자 맞춤형 교양교과목 개발,학생의 의견을 반영한 교과목 개발을 통해 수요자 중심 교육 실현,교육과정과 교양교육팀,글로컬대학30,,2
68,"교원, 직원",2학기,설명회,학생역량관리시스템 고도화 ,학생역량관리시스템 개선 및 신규 기능 추가에 따른 활용도 제고 필요,교육과정과 교양교육팀,글로컬대학30,4.4,85
69,"학생, 교원, 직원",2학기,GNU교육과정박람회,학사유연화 교육과정 안내와 컨설팅,학사유연화 교육과정 확대,교육과정과 전공교육팀,글로컬대학30,n/a,1366
70,학생,2학기,설명회,개척융합학부(무전공) 신입생 대상 교육과정,교육수요자 맞춤형 개별 컨설팅,교육과정과 전공교육팀,글로컬대학30,n/a,40
71,학생,2학기,맞춤형개별컨설팅,개척융합학부(무전공) 신입생 대상 ,교육수요자 맞춤형 개별 컨설팅,교육과정과 전공교육팀,글로컬대학30,n/a,40
72,"학생, 교원, 직원",2학기, GNU교육혁신페스타,교육혁신 핵심과제 성과 공유,교육혁신 핵심과제 성과 공유 및 확산,교육과정과 전공교육팀,글로컬대학30,n/a,182
73,학생,1학기,GNUAIPioneer,캠프 중급과정,생성형 AI 활용 역량 강화 및 문제해결 역량 향상,AI센터,글로컬대학30,4.7,41
74,학생,1학기,GNUAIPioneer,온라인 특강 1차(실습),생성형 AI 교육을 통한 학습 효율성 제고,AI센터,글로컬대학30,4.5,199
75,학생,1학기,GNUAIPioneer,온라인 특강 1차(개념),생성형 AI 교육을 통한 학습 효율성 제고,AI센터,글로컬대학30,4.5,323
76,학생,1학기,GNUAIPioneer,캠프 초급과정,생성형  AI  활용 기초 역량 강화 및 디지털 리터러시 향상 ,AI센터,글로컬대학30,4.5,40
77,학생,1학기,AI파워학습자되기,초급 과정 1차,생성형  AI  활용 기초 역량 강화 및 디지털 리터러시 향상 ,AI센터,글로컬대학30,4.6,22
78,학생,1학기,AI파워학습자되기,초급 과정 2차,생성형  AI  활용 기초 역량 강화 및 디지털 리터러시 향상 ,AI센터,글로컬대학30,4.6,24
79,학생,1학기,AI파워학습자되기,초급 과정 3차,생성형  AI  활용 기초 역량 강화 및 디지털 리터러시 향상 ,AI센터,글로컬대학30,4.5,25
80,학생,1학기,AI파워학습자되기,초급 과정 4차,생성형  AI  활용 기초 역량 강화 및 디지털 리터러시 향상 ,AI센터,글로컬대학30,4.5,23
81,"학생, 직원",1학기,AI활용교육,슬기로운 생성형 AI 활용 역량 기르기,대학구성원들의 AI 활용 역량 강화,AI센터,글로컬대학30,4.6,44
82,교원,1학기,AI파워교수자되기,초·중급,교원들의 디지털 기술 활용 역량 강화 지원,AI센터,글로컬대학30,4.6,47
83,외부기관,1학기,AI활용교육,공공기관 재직자 대상 ,지역기관을 위한 AI 활용 직무 역량 교육 지원,AI센터,글로컬대학30,4.6,29
84,외부기관,1학기,AI활용교육,공군교육사령부 교관 대상,지역기관을 위한 AI 활용 직무 역량 교육 지원,AI센터,글로컬대학30,4.8,312
85,학생,2학기,GNUAIPioneer,5차 AI Pioneer 캠프,AI를 활용한 코딩 기반 제작·협업 기반 프로젝트 추진,AI센터,글로컬대학30,4.6,30
86,학생,2학기,자격증과정,학생 대상 Asure OpenAI(AI900) 자격증 과정(온라인),AI 활용 자격 과정 교육을 통한 활용 역량 강화 ,AI센터,글로컬대학30,4.4,56
87,학생,2학기,자격증과정,학생 대상 KT AICE Basic 자격 취득 과정(온라인),AI 활용 자격 과정 교육을 통한 활용 역량 강화 ,AI센터,글로컬대학30,4.4,47
88,학생,2학기,GNUAIPioneer,4차 AI Pioneer 캠프,AI를 활용한 코딩 기반 제작·협업 기반 프로젝트 추진,AI센터,글로컬대학30,4.4,37
89,학생,2학기,AI기술접근성확보맞춤형온라인교육,"AI 에이전트 치트키, Claude MCP로 끝내는 업무 자동화",AI 기술 접근성 확보를 위한 맞춤형 온라인 교육 제공,AI센터,글로컬대학30,4.4,188
90,학생,2학기,AI기술접근성확보맞춤형온라인교육,비개발자를 위한 노코드 AI 분석 도구 활용법: 데이터 이해부터 시각화까지,AI 기술 접근성 확보를 위한 맞춤형 온라인 교육 제공,AI센터,글로컬대학30,4.5,173
